Location,Longitude,Latitude
ORDNANCE RESEARCH INSTITUTE,-86.60500383382521,30.41166755352382
PRB AREAWIDE GROUNDWATER STUDY,-82.38666601590336,27.923336352958778
"TRAVIS EXTERMINATING CO.,INC.",-80.21889235341125,27.166249184413893
"FORMER CHURCH OF GOD OF SAINT PETERSBURG, INC.",-82.67859981557093,27.748103589260335
SOUTH PARK CLEANERS,-80.2933352789699,25.668337196529187
HANNERS CLEANERS,-80.12547483893263,26.23488458332809
ECC PROPERTIES LLC,-80.25308180497726,25.803304104847317
GOLD COAST OIL SUPERFUND SITE,-80.3112019695228,25.743404226352222
"GRACE, W R & CO RIDGEWOOD MINING",-81.97833002977548,27.79333685476409
ELLIS INDUSTRIAL WAREHOUSE,-80.28833468393113,25.836671183271196
SI BON CLEANERS,-80.29389127695565,25.6688931976057
ENTREPRENEUR INC,-82.32805533947666,28.054447194511777
BIELECKI INDUSTRIES INC,-80.30833473713284,25.81639222098257
PONCE DE LEON GOLF COURSE,-81.32876020401308,29.93015411288228
"FORMER FLORIDA PLATING, INC.",-82.67235994497621,27.813813546506804
HARDRIVES DUMP,-80.18245038463273,26.08512850433474
BEGGS LANE,-87.23440427031906,30.46000089690515
CHANNELSIDE DRIVE SPILL,-82.44555966239683,27.95581354466335
JRP INVESTMENTS LLC,-81.40709906425872,28.5760334675671
CREEK HAVEN DRIVE MERCURY SPILL,-82.3067479846826,27.83659339547792
WOODCO INDUSTRACHEM INC,-81.29547703998699,28.583855350696208
PROCTOR ROAD LANDFILL,-82.42579815660804,27.27625116734922
1ST STREET MERCURY,-80.14117018355756,26.68026372484166
SEABOARD RAILROAD PONDS,-80.25890477158187,25.856119182229573
STANDARD SANITARY SUPPLIES,-80.18351084898984,26.203543773056452
OSCEOLA FOREST SITE #4,-82.6366689969516,30.18833608466837
"C. W. OWENS PEST CONTROL, INC",-81.63714543744682,30.35070665166752
CONTINENTAL BUMPER PLATING,-80.26298039385834,25.868055483429366
INTERNATIONAL CHROME ACID SPILL,-82.21052735863289,28.376692093255777
REGENCY ARTISTIC METAL REFINISHING,-82.74123094182423,28.184723862489687
CORRY FIELD LANDFILL,-87.28733046145767,30.397128903443598
DEPARTMENT OF VETERANS AFFAIRS,-80.21617183553616,25.79041397598199
COAST GUARD AIR STATION MIAMI,-80.27386447733109,25.906665169519954
19TH STREET LEAD SITE,-82.65943893542098,27.80535458041836
BROWN WOOD PRESERVING,-83.01305221568103,30.302502533556208
"ADVANCED CHEMICAL CO., INC.",-81.37946760156139,28.40120823338115
UNITED STATES AIR FORCE,-86.49327592458312,30.484389676896804
USCG GROUP KEY WEST,-81.79993478775783,24.566619454735203
USN ORLANDO TRAINING CTR,-81.33320701582096,28.560911396385528
GREAT SOUTHERN PLATING CORP.,-80.2384504824313,25.91137209140792
TNT CHEMICAL,-80.316381647527,25.84345423922849
THE VILLAGES MERCURY SPILL,-81.96076175591054,28.882513664050276
WEEKLEY LUMBER,-80.69397892494686,28.269983604897995
AUTO RESTORATION DEPOT INC,-81.81391940202884,27.546453433239975
WHITE BUMPER SERVICE INC,-80.31355171480429,25.822404233076263
BELLE GLADE MERCURY SPILL,-80.68600045021269,26.69322395461836
REICHHOLD LLC,-81.74575854794466,30.32689665387433
